0|0|0|30|46|61||"148905049"|"92015456"
30|46|61|46||76|"Wet"|"148905049"|"92015457"
0|0|0|183|183|183|"Wet"|"149033844"|"92046678"
0|0|0|183|183|183|"Wet"|"148908924"|"92018746"
61||91|183|183|183||"148912408"|"92021905"
0|0|0|46|61|76||"148912408"|"92021906"
46|61|76|61||91|"Wet"|"148912408"|"92021907"
61||91|183|183|183||"148907433"|"92017506"
0|0|0|46|61|76||"148907433"|"92017507"
46|61|76|61||91|"Wet"|"148907433"|"92017508"
0|0|0|183|183|183|"Wet"|"148909325"|"92019012"
0|0|0|183|183|183|"Wet"|"148903576"|"92014276"
0|0|0|15|46|76||"148913720"|"92023032"
15|46|76|183|183|183|"Wet"|"148913720"|"92023033"
0|0|0|183|183|183|"Wet"|"148910301"|"92019713"
0|0|0|30|46|61||"148912567"|"92022021"
30|46|61|183|183|183|"Wet"|"148912567"|"92022022"
30||46|183|183|183||"148908523"|"92018453"
0|0|0|15|23|30||"148908523"|"92018454"
15|23|30|30||46|"Wet"|"148908523"|"92018455"
30||46|183|183|183||"148913376"|"92022688"
0|0|0|15|23|30||"148913376"|"92022689"
15|23|30|30||46|"Wet"|"148913376"|"92022690"
0|0|0|15|31|46||"148902200"|"92013105"
15|31|46|183|183|183|"Wet"|"148902200"|"92013106"
0|0|0|183|183|183|"Wet"|"148909484"|"92019112"
46||76|183|183|183||"148910323"|"92019737"
0|0|0|30|46|61||"148910323"|"92019738"
30|46|61|46||76|"Wet"|"148910323"|"92019739"
0|0|0|46|69|91||"149033906"|"92046742"
46|69|91|183|183|183|"Wet"|"149033906"|"92046743"
0|0|0|183|183|183|"Wet"|"148904681"|"92015156"
61||91|183|183|183||"148911879"|"92021319"
0|0|0|46|61|76||"148911879"|"92021320"
46|61|76|61||91|"Wet"|"148911879"|"92021321"
61||107|183|183|183||"148907732"|"92017767"
0|0|0|46|69|91||"148907732"|"92017768"
46|69|91|61||107|"Wet"|"148907732"|"92017769"
0|0|0|183|183|183|"Wet"|"148905671"|"92016067"
61||91|183|183|183||"148907270"|"92017312"
0|0|0|46|61|76||"148907270"|"92017313"
46|61|76|61||91|"Wet"|"148907270"|"92017314"
61||91|183|183|183||"148912166"|"92021650"
0|0|0|46|61|76||"148912166"|"92021651"
46|61|76|61||91|"Wet"|"148912166"|"92021652"
30||46|183|183|183||"148913406"|"92022754"
0|0|0|15|23|30||"148913406"|"92022755"
15|23|30|30||46|"Wet"|"148913406"|"92022756"
0|0|0|46|54|61||"148904191"|"92014754"
