"Silt loam"||"80855865"|"82281825"
"Fine sandy loam"||"80920825"|"82348102"
"Sandy loam"||"80858175"|"82284144"
"Loamy fine sand"||"80854978"|"82280936"
"Loamy fine sand"||"80923452"|"82350785"
"Coarse sand"||"80923452"|"82350786"
"Sand"||"80857405"|"82283373"
"Silt loam"||"80857215"|"82283179"
"Fine sandy loam"||"80858638"|"82284607"
"Silt loam"||"80856527"|"82282488"
"Loamy fine sand"||"80859164"|"82285134"
"Silt loam"||"80856318"|"82282279"
"Fine sandy loam"||"80858882"|"82284851"
"Sandy loam"||"80856756"|"82282719"
"Silt loam"||"80861847"|"82287827"
"Fine sandy loam"||"80857817"|"82283785"
"Loamy sand"||"80923478"|"82350812"
"Sandy loam"||"80923383"|"82350715"
"Fine sandy loam"||"80858807"|"82284776"
"Very fine sand"||"80861144"|"82287122"
|"Muck"|"80860201"|"82286176"
"Fine sandy loam"||"80859280"|"82285251"
"Silt loam"||"80861228"|"82287207"
"Fine sandy loam"||"80860592"|"82286568"
"Fine sandy loam"||"80857434"|"82283402"
"Fine sandy loam"||"80856746"|"82282709"
"Silty clay loam"||"80858663"|"82284632"
"Fine sandy loam"||"80924045"|"82351380"
|"Muck"|"80856930"|"82282894"
"Fine sandy loam"||"80857044"|"82283008"
"Coarse sand"||"80855526"|"82281486"
"Loamy sand"||"80860441"|"82286417"
"Fine sandy loam"||"80855767"|"82281727"
"Silt loam"||"80858334"|"82284303"
"Silt loam"||"80857373"|"82283339"
"Sand"||"80861387"|"82287367"
|"Unweathered bedrock"|"80924243"|"82351578"
"Fine sandy loam"||"80855281"|"82281241"
"Sand"||"80856227"|"82282188"
"Silty clay loam"||"80861317"|"82287296"
"Fine sand"||"80855263"|"82281223"
"Silt loam"||"80860342"|"82286318"
"Sand"||"80920861"|"82348141"
"Silt loam"||"80859325"|"82285298"
"Coarse sand"||"80857569"|"82283537"
"Coarse sand"||"80861905"|"82287885"
"Coarse sand"||"80861916"|"82287896"
"Loam"||"80857737"|"82283705"
"Coarse sand"||"80860443"|"82286419"
"Loam"||"80861422"|"82287402"
